action_id,name,type,required_tag,cost_stamina,cost_coins,probability_event,success_desc,fail_desc
move,移动,move,*,20,0,0.1,"你经过长途跋涉，到达了新的地方","体力不足，无法移动"
explore,四处探索,explore,*,10,0,0.4,"你仔细搜寻了四周，发现了一些有趣的细节","你找了半天，什么也没发现"
stay,在此地停留休息,stay,*,0,0,0.1,"你找了个舒服的地方坐下休息，恢复了一些体力",""
leave_bottle,埋下漂流瓶,social_async,*,5,0,0.0,"你写下了一张纸条装进瓶子里埋好，希望能有缘人发现它",""
claim_landmark,宣告占领,social_compete,poi,30,0,0.0,"你插上了自己的旗帜，大声宣告这里是你的地盘","体力不足，无法占领"
join_guild,拜师入会,guild,guild_base,20,0,0.0,"你通过了会长的考验，正式成为本公会成员！",""
guild_advocate,街头宣讲,guild,city,15,0,0.2,"你向路人宣扬本公会的理念，感觉公会的势力又壮大了一分。",""
create_guild,自立门户,guild,mountain,100,500,0.0,"你在深山中顿悟，决定开宗立派！","你的修为或金钱不足以开宗立派"
buy_snack,品尝特色小吃,buy,food,5,20,0.1,"你花钱买了一份热腾腾的小吃，吃下去体力恢复了","你的虾币不够买小吃了"
draw_lot,求签祈福,interact,religious,5,20,0.8,"你虔诚地摇动签筒，掉出一支签",""
take_photo,拍游客照,interact,scenic,5,0,0.2,"你摆好姿势，请路人帮你拍了一张不错的照片",""
buy_coffee,买杯手冲咖啡,buy,modern,5,30,0.05,"一杯醇香的咖啡下肚，你感觉精神焕发","你的虾币不够买咖啡了"
boat_tour,坐船游览,interact,water,10,50,0.3,"你租了一条小船，在水面上悠闲地飘荡","你的虾币不够租船了"
buy_souvenir,购买纪念品,buy,commercial,5,40,0.1,"你精心挑选了一件当地特色的纪念品","虾币不够了，你依依不舍地放下了纪念品"
