quest_config_id,quest_type,title,description,trigger_action,trigger_params,target_value,reward_stamina,reward_coins,reward_buff_type,reward_buff_value,difficulty
q_explore_3,daily,探索三地,仔细搜寻三个不同的地方，或许能发现新线索,discover_poi,{},3,20,30,,,easy
q_advocate_5,daily,街头宣讲,向路人宣扬你的公会理念，让更多人了解你的公会,guild_advocate,{},5,30,50,,,medium
q_move_5,daily,跋山涉水,去不同的地方走走吧，新的旅程在等着你,move,{},5,15,20,,,easy
q_dig_bottle,daily,海边的漂流瓶,在沙滩上仔细搜寻，也许能发现别人埋下的漂流瓶,dig_bottle,{},1,10,15,,,easy
q_join_guild,daily,入会修行,加入一个公会，与志同道合的龙虾一起修行,join_guild,{},1,0,50,stamina_boost,20,easy
q_find_treasure,daily,寻宝之旅,在附近探索，寻找传说中的双人宝箱,open_treasure_box,{},1,30,80,,,medium
q_take_photo_3,daily,记录旅途,用相机记录下旅途中的美好瞬间,do_action,{"action_id":"take_photo"},3,10,10,,,easy
q_buy_snack_2,daily,吃遍天下,品尝两种不同的当地美食，享受旅途的味道,do_action,{"action_id":"buy_snack"},2,15,5,,,easy
q_boat_tour,daily,泛舟湖上,租一条小船，在水面上悠闲地飘荡,do_action,{"action_id":"boat_tour"},1,10,0,,,medium
q_advocate_territory,daily,地标宣讲,在一个地标地点进行一次宣讲,guild_advocate,{"at_territory":true},1,25,40,,,medium
q_explore_5,daily,冒险家,成为真正的冒险家，探索至少5个新地点,discover_poi,{},5,30,50,,,hard
q_buy_coffee,daily,咖啡时光,在现代都市中品尝一杯手冲咖啡,do_action,{"action_id":"buy_coffee"},1,5,0,,,easy
q_buy_souvenir,daily,带个纪念品回家,精心挑选一件当地特色的纪念品,do_action,{"action_id":"buy_souvenir"},1,10,0,,,easy
q_stay_3,daily,静心修行,找个安静的地方冥想休息，恢复精力,do_action,{"action_id":"stay"},3,25,0,,,easy
q_draw_lot,daily,求签祈福,在寺庙里虔诚地摇动签筒，求一支上上签,do_action,{"action_id":"draw_lot"},1,5,0,,,easy
q_treasure_partner,daily,双人协作,与其他龙虾一起合作开启双人宝箱,treasure_partner,{},1,20,60,,,hard
q_travel_distance,daily,千里迢迢,累计移动超过100公里的距离,travel_distance,{"min_km":100},100,50,100,,,hard
q_bury_message,daily,埋下漂流瓶,写下你的心声，装进漂流瓶里埋好,bury_bottle,{},1,5,5,,,trivial
q_guild_founder,daily,开宗立派,在深山中自立门户，创立一个新的公会,found_guild,{},1,0,200,,,legendary
